post_id,title,category,score,num_comments,author,collected_at,engagement,is_popular
47615844,Show HN: A P2P messenger with dual network modes (Fast and Tor),show,33,18,Realman78,2026-04-03 11:46:53,0.5294117647058824,False
47618247,Show HN: SyNumpy – a Header only C++17 library for working with NumPy Arrays,show,17,2,symisc_devel,2026-04-03 11:46:54,0.1111111111111111,False
47612321,Show HN: I built a DNS resolver from scratch in Rust – no DNS libraries,show,92,53,rdme,2026-04-03 11:46:55,0.5698924731182796,False
47606560,"Show HN: Dull – Instagram Without Reels, YouTube Without Shorts (iOS)",show,141,110,kasparnoor,2026-04-03 11:46:55,0.7746478873239436,False
47621937,Show HN: A Minimal Basic Inspired by Brainfuck,show,5,0,ADavison2560,2026-04-03 11:46:56,0.0,False
47617217,Show HN: I tested 15 free AI models at building real software on a $25/year VPS,show,18,3,j0rg3,2026-04-03 11:46:57,0.15789473684210525,False
47571183,Show HN: CLI to order groceries via reverse-engineered REWE API (Haskell),show,197,81,wazHFsRy,2026-04-03 11:46:57,0.4090909090909091,False
47557921,Show HN: Git bayesect – Bayesian Git bisection for non-deterministic bugs,show,329,43,hauntsaninja,2026-04-03 11:46:58,0.1303030303030303,True
47621557,Show HN: SkiFlee (an HTML5 game),show,6,5,BSTRhino,2026-04-03 11:46:59,0.7142857142857143,False
47574871,"Show HN: Zerobox – Sandbox any command with file, network, credential controls",show,136,90,afshinmeh,2026-04-03 11:46:59,0.656934306569343,False
47589856,Show HN: Postgres extension for BM25 relevance-ranked full-text search,show,197,56,tjgreen,2026-04-03 11:47:00,0.2828282828282828,False
47541746,Show HN: Forkrun – NUMA-aware shell parallelizer (50×–400× faster than parallel),show,149,41,jkool702,2026-04-03 11:47:01,0.2733333333333333,False
47593422,"Show HN: 1-Bit Bonsai, the First Commercially Viable 1-Bit LLMs",show,417,153,PrismML,2026-04-03 11:47:01,0.3660287081339713,True
47613668,Show HN: Abject: the first self-aware object runtime,show,8,2,mempko,2026-04-03 11:47:03,0.2222222222222222,False
47603966,Show HN: Flight-Viz – 10K flights on a 3D globe in 3.5MB of Rust+WASM,show,82,45,coolwulf,2026-04-03 11:47:04,0.5421686746987951,False
47602986,Show HN: Real-time dashboard for Claude Code agent teams,show,73,24,simple10,2026-04-03 11:47:05,0.32432432432432434,False
47594804,Show HN: Claude Code rewritten as a bash script,show,52,16,rpst,2026-04-03 11:47:06,0.3018867924528302,False
47616777,"Show HN: Portcullis, a review gate for curl|bash",show,5,1,ImJasonH,2026-04-03 11:47:07,0.16666666666666666,False
